Sample,dVm/dt
1320,-0.398210
1321,-0.394108
1322,-0.403901
1323,-0.399831
1324,-0.399009
1325,-0.400715
1326,-0.400022
1327,-0.405014
1328,-0.402050
1329,-0.396086
1330,-0.396372
1331,-0.400441
1332,-0.401454
1333,-0.399325
1334,-0.404533
1335,-0.404814
1336,-0.413192
1337,-0.403629
1338,-0.407726
1339,-0.403105
1340,-0.403883
1341,-0.410248
1342,-0.411754
1343,-0.406756
1344,-0.399754
1345,-0.403345
1346,-0.398239
1347,-0.401682
1348,-0.401400
1349,-0.406634
1350,-0.401080
1351,-0.397789
1352,-0.395838
1353,-0.395498
1354,-0.398004
1355,-0.403284
1356,-0.404922
1357,-0.399691
1358,-0.396104
1359,-0.398165
1360,-0.401654
1361,-0.401138
1362,-0.403984
1363,-0.409368
1364,-0.402272
1365,-0.397590
1366,-0.399828
1367,-0.397104
1368,-0.411152
1369,-0.398334
1370,-0.411319
1371,-0.414280
1372,-0.408203
1373,-0.409389
1374,-0.407307
1375,-0.402856
1376,-0.403196
1377,-0.405561
1378,-0.409870
1379,-0.410544
1380,-0.411924
1381,-0.409481
1382,-0.400837
1383,-0.399563
1384,-0.398322
1385,-0.398956
1386,-0.403641
1387,-0.399335
1388,-0.391952
1389,-0.399371
1390,-0.397112
1391,-0.397978
1392,-0.400087
1393,-0.401808
1394,-0.396864
1395,-0.406432
1396,-0.403363
1397,-0.400007
1398,-0.403678
1399,-0.400092
1400,-0.411455
1401,-0.395801
1402,-0.403128
1403,-0.387142
1404,-0.393522
1405,-0.399774
1406,-0.400017
1407,-0.404853
1408,-0.400682
1409,-0.406591
1410,-0.403862
1411,-0.405049
1412,-0.404720
1413,-0.402104
1414,-0.399231
1415,-0.395686
1416,-0.400648
1417,-0.395819
1418,-0.393227
1419,-0.403249
1420,-0.400345
1421,-0.402772
1422,-0.399302
1423,-0.401025
1424,-0.407511
1425,-0.411769
1426,-0.396168
1427,-0.400585
1428,-0.397745
1429,-0.392324
1430,-0.398661
1431,-0.400084
1432,-0.399275
1433,-0.402166
1434,-0.400092
1435,-0.396706
1436,-0.391115
1437,-0.400622
1438,-0.396774
1439,-0.402454
1440,-0.400116
1441,-0.390044
1442,-0.397956
1443,-0.403921
1444,-0.402000
1445,-0.401510
1446,-0.402554
1447,-0.401514
1448,-0.397822
1449,-0.405088
1450,-0.407256
1451,-0.405353
1452,-0.399934
1453,-0.403149
1454,-0.399953
1455,-0.396756
1456,-0.413925
1457,-0.398962
1458,-0.398446
1459,-0.394975
1460,-0.404794
1461,-0.398825
1462,-0.397983
1463,-0.394153
1464,-0.401536
1465,-0.395952
1466,-0.396114
1467,-0.396945
1468,-0.403546
1469,-0.399266
1470,-0.400197
1471,-0.398431
1472,-0.392239
1473,-0.394535
1474,-0.401856
1475,-0.402314
1476,-0.402749
1477,-0.406473
1478,-0.401554
1479,-0.399962
1480,-0.402944
1481,-0.393897
1482,-0.394804
1483,-0.400149
1484,-0.407421
1485,-0.403129
1486,-0.395562
1487,-0.400524
1488,-0.399189
1489,-0.406190
1490,-0.403527
1491,-0.410488
1492,-0.407713
1493,-0.407728
1494,-0.399425
1495,-0.394485
1496,-0.404171
1497,-0.399233
1498,-0.403429
1499,-0.400150
1500,-0.399420
1501,-0.396248
1502,-0.403563
1503,-0.396805
1504,-0.399308
1505,-0.399303
1506,-0.398923
1507,-0.393880
1508,-0.396836
1509,-0.393455
1510,-0.397601
1511,-0.403204
1512,-0.399894
1513,-0.399494
1514,-0.402339
1515,-0.397083
1516,-0.401792
1517,-0.401024
1518,-0.402516
1519,-0.408812
1520,-0.405783
1521,-0.407851
1522,-0.407462
1523,-0.403770
1524,-0.405585
1525,-0.387275
1526,-0.390943
1527,-0.404865
1528,-0.394566
1529,-0.401388
1530,-0.404668
1531,-0.394510
1532,-0.409495
1533,-0.408599
1534,-0.395155
1535,-0.403497
1536,-0.401632
1537,-999.000000
1538,-0.395489
1539,-0.398775
1540,-0.396008
1541,-0.394639
1542,-0.405946
1543,-0.407534
1544,-0.398471
1545,-0.404036
1546,-0.412260
1547,-0.406110
1548,-0.402029
1549,-0.399426
1550,-0.420832
1551,-0.397797
1552,-0.401557
1553,-0.398287
1554,-0.406225
1555,-0.404529
1556,-0.398237
1557,-0.398973
1558,-0.402263
1559,-0.401714
1560,-0.399422
1561,-0.402294
1562,-0.412200
1563,-0.400911
1564,-0.410745
1565,-0.406445
1566,-0.400019
1567,-0.402572
1568,-0.404856
1569,-0.404510
1570,-0.408119
1571,-0.398367
1572,-999.000000
1573,-0.395584
1574,-0.401100
1575,-0.399933
1576,-0.407984
1577,-0.404022
1578,-0.399388
1579,-0.406022
1580,-0.404585
1581,-0.404473
1582,-0.402355
1583,-0.388918
1584,-0.384405
1585,-0.402767
1586,-0.404077
1587,-0.398573
1588,-0.398942
1589,-0.401018
1590,-0.398643
1591,-0.402350
1592,-0.399136
1593,-0.402705
1594,-0.396161
1595,-0.393001
1596,-0.397983
1597,-0.395705
1598,-0.401027
1599,-0.397004
1600,-0.400789
1601,-0.401925
1602,-0.404287
1603,-0.405416
1604,-0.408134
1605,-0.401352
1606,-0.402382
1607,-0.405111
1608,-0.398711
1609,-0.396349
1610,-0.400579
1611,-0.403743
1612,-0.401681
1613,-0.405851
1614,-0.398529
1615,-0.405169
1616,-0.389120
1617,-0.397748
1618,-0.401290
1619,-0.397490
1620,-0.400587
1621,-0.406350
1622,-0.397661
1623,-0.404560
1624,-0.401409
1625,-0.399012
1626,-0.404617
1627,-0.399014
1628,-0.397560
1629,-0.399723
1630,-0.400721
1631,-0.399738
1632,-0.401016
1633,-0.399198
1634,-0.400387
1635,-0.404075
1636,-0.401867
1637,-0.399864
1638,-0.402012
1639,-0.402910
1640,-0.400041
1641,-0.401195
1642,-0.404054
1643,-0.406431
1644,-0.402110
1645,-0.400572
1646,-0.400439
1647,-0.397806
1648,-0.401252
1649,-0.400959
1650,-0.400312
1651,-0.401530
1652,-0.405242
1653,-0.406265
1654,-0.384804
1655,-0.403928
1656,-0.409098
1657,-0.399352
1658,-0.403527
